Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
"Journalist, magazine",Finance,Decreasing,High,113261.54,Bachelor’s Degree,1,9932,3970,63.95,69.61,UK,52.7
"Producer, radio",Entertainment,Decreasing,Low,85651.46,Associate Degree,20,8257,7358,14.39,24.18,China,78.24
"Engineer, civil (contracting)",Entertainment,Decreasing,Moderate,86294.57,Associate Degree,7,3860,976,92.88,41.19,USA,77.39
Insurance risk surveyor,Retail,Decreasing,Low,112612.37,Bachelor’s Degree,7,5809,5128,12.91,0.87,Australia,65.95
"Designer, jewellery",Transportation,Decreasing,Low,56187.04,High School,7,6343,8234,92.78,94.12,Canada,51.93
Prison officer,Retail,Decreasing,Low,66434.94,PhD,20,9692,4643,4.5,8.7,Canada,34.7
Records manager,IT,Increasing,High,50655.25,Master’s Degree,4,3421,7435,4.61,92.23,UK,50.66
"Designer, interior/spatial",Education,Increasing,Low,146159.94,Bachelor’s Degree,1,2491,8947,84.19,4.98,UK,55.98
Automotive engineer,IT,Decreasing,High,74547.34,Master’s Degree,8,1042,2534,11.4,32.55,UK,22.05
"Engineer, site",Entertainment,Increasing,Moderate,42863.33,PhD,1,3074,4064,53.0,37.17,Canada,76.51
Production engineer,Entertainment,Increasing,High,34715.27,Master’s Degree,3,6126,9636,55.29,15.75,USA,78.72
Broadcast journalist,Transportation,Increasing,Moderate,127117.0,High School,4,5625,5841,40.25,45.93,Germany,66.61
Geophysical data processor,Entertainment,Increasing,Moderate,94996.63,Master’s Degree,7,6052,304,57.67,95.54,Canada,32.19
Television camera operator,IT,Increasing,High,31256.54,Associate Degree,9,9681,3200,41.26,81.08,Australia,57.2
Make,Transportation,Decreasing,Moderate,105289.23,PhD,4,5386,5027,36.23,43.11,Canada,73.03
Lawyer,Retail,Increasing,High,60641.35,Associate Degree,18,1479,2163,18.5,42.1,Brazil,59.65
Interior and spatial designer,Entertainment,Increasing,Moderate,148207.45,Master’s Degree,15,7319,5274,89.82,51.85,Germany,43.17
"Scientist, research (life sciences)",IT,Decreasing,Low,90201.99,Master’s Degree,15,5279,2488,3.43,21.74,Australia,38.81
Forensic psychologist,Finance,Decreasing,High,131269.26,Associate Degree,18,7223,8090,20.92,99.0,USA,54.48
Architectural technologist,Transportation,Decreasing,High,142976.98,High School,10,1024,4893,93.89,81.3,India,75.43
"Designer, industrial/product",Manufacturing,Decreasing,Low,79847.92,PhD,18,8725,4192,43.61,1.3,India,76.04
Furniture conservator/restorer,Manufacturing,Increasing,Low,78840.84,Associate Degree,15,9593,1222,55.65,85.4,Australia,56.73
Consulting civil engineer,Finance,Decreasing,Low,51010.07,High School,19,8295,6182,44.77,43.8,India,37.94
Ophthalmologist,Transportation,Decreasing,High,52927.39,Bachelor’s Degree,1,231,2960,24.46,27.16,Brazil,62.38
Barista,Transportation,Increasing,High,38922.72,PhD,5,1355,6574,66.35,91.31,USA,41.03
"Journalist, broadcasting",IT,Increasing,High,50385.81,High School,5,1917,9119,51.2,39.08,Brazil,73.46
"Designer, blown glass/stained glass",Healthcare,Decreasing,Low,113090.35,Bachelor’s Degree,12,1721,897,77.19,19.38,USA,78.37
Amenity horticulturist,Transportation,Increasing,High,143970.71,Master’s Degree,13,1379,1948,69.12,63.26,UK,65.73
Personal assistant,IT,Decreasing,High,102745.67,Associate Degree,11,525,8518,42.46,3.2,Canada,20.93
Museum education officer,Education,Decreasing,Low,123233.37,Bachelor’s Degree,8,136,732,8.19,55.97,USA,47.15
"Therapist, speech and language",Manufacturing,Decreasing,High,32069.41,Master’s Degree,0,581,8591,86.09,12.38,China,43.1
Music therapist,Manufacturing,Increasing,Low,111421.25,Master’s Degree,12,9126,3745,2.06,7.44,Canada,76.75
Fashion designer,Transportation,Increasing,Low,123166.41,Master’s Degree,15,312,555,2.09,78.18,USA,30.46
Dramatherapist,Manufacturing,Increasing,Low,144439.82,Bachelor’s Degree,6,9180,481,52.09,13.85,Canada,61.43
Air cabin crew,Healthcare,Decreasing,Moderate,75653.19,Master’s Degree,6,6833,118,32.92,83.59,Germany,21.55
Legal secretary,Manufacturing,Increasing,High,124124.77,High School,19,473,8095,71.29,18.93,China,37.58
Surgeon,Healthcare,Decreasing,Moderate,103301.29,Associate Degree,3,6906,3676,9.79,74.35,India,73.05
Technical sales engineer,IT,Increasing,Low,101956.06,High School,5,7844,5161,21.64,55.96,USA,61.8
Systems developer,Healthcare,Increasing,High,107629.48,Bachelor’s Degree,17,2887,1772,15.59,27.53,UK,39.24
Garment/textile technologist,Entertainment,Decreasing,Moderate,61615.75,Associate Degree,16,7382,9780,3.8,49.18,Canada,50.25
"Engineer, structural",Entertainment,Increasing,High,130054.06,Bachelor’s Degree,18,5085,5847,46.31,84.28,Canada,28.72
Furniture conservator/restorer,Finance,Increasing,Moderate,61559.85,Bachelor’s Degree,3,8563,213,41.08,73.04,Germany,76.24
Physiotherapist,Transportation,Increasing,Moderate,92324.41,High School,5,7329,8670,41.64,80.83,Canada,24.56
Sports coach,Healthcare,Increasing,Low,39812.53,Bachelor’s Degree,0,2994,7215,89.23,88.1,Brazil,48.35
"Psychologist, counselling",Healthcare,Decreasing,Low,92536.81,Master’s Degree,14,3043,9981,6.56,77.06,Germany,51.26
"Scientist, clinical (histocompatibility and immunogenetics)",Retail,Increasing,High,106831.95,Bachelor’s Degree,14,7389,9085,10.23,47.7,Germany,46.68
Theatre director,Transportation,Increasing,High,129715.42,High School,1,6877,8143,51.86,73.68,Brazil,72.32
"Engineer, agricultural",Finance,Increasing,Low,142014.94,High School,12,2163,6022,83.26,25.84,USA,51.23
Glass blower/designer,IT,Decreasing,Moderate,138518.75,Bachelor’s Degree,16,9539,5905,44.25,75.03,UK,57.56
"Journalist, newspaper",Education,Increasing,Moderate,84739.41,High School,12,3745,1062,72.52,24.31,Canada,38.72
"Teacher, secondary school",Healthcare,Increasing,High,73445.85,Bachelor’s Degree,0,5035,166,67.47,96.63,UK,77.16
Visual merchandiser,Retail,Decreasing,Low,54071.82,PhD,8,7679,7153,15.55,19.48,Australia,72.33
Dealer,Finance,Decreasing,Moderate,128239.4,High School,19,793,6756,20.48,22.75,China,70.96
Product designer,Healthcare,Decreasing,High,47413.97,Associate Degree,15,1794,3484,29.59,97.53,China,34.52
Health visitor,IT,Increasing,High,80466.85,Associate Degree,18,7643,1405,35.85,59.71,UK,60.93
Hydrographic surveyor,Education,Increasing,Low,79760.29,Bachelor’s Degree,10,3678,4849,11.62,2.05,China,57.6
Clinical research associate,Manufacturing,Decreasing,High,85809.81,PhD,20,5795,2056,83.7,97.14,Australia,77.26
"Designer, interior/spatial",IT,Decreasing,High,134415.87,Associate Degree,5,8305,3150,1.43,76.15,Australia,68.75
Higher education careers adviser,Manufacturing,Increasing,Low,74103.25,Master’s Degree,1,8538,9063,76.03,69.38,India,72.63
Probation officer,Transportation,Decreasing,Moderate,42104.69,Bachelor’s Degree,17,4071,6575,74.48,32.74,China,56.74
Make,Retail,Increasing,Moderate,42267.67,Bachelor’s Degree,16,6940,3732,57.45,85.35,India,67.22
Special effects artist,Manufacturing,Decreasing,High,144018.45,Bachelor’s Degree,13,7771,3560,87.59,25.98,Canada,51.01
Dealer,Entertainment,Decreasing,Low,31888.77,Bachelor’s Degree,11,2666,321,41.81,96.52,Germany,49.9
Minerals surveyor,IT,Decreasing,Moderate,41378.18,Master’s Degree,0,1107,3989,9.56,67.28,India,60.82
"Designer, television/film set",Manufacturing,Decreasing,Moderate,43531.9,Bachelor’s Degree,13,1284,7547,25.53,55.25,UK,21.27
Probation officer,IT,Decreasing,Low,68280.42,Master’s Degree,14,8605,912,38.89,32.38,Australia,26.47
Product manager,Retail,Increasing,Low,116061.15,PhD,16,7225,4420,17.99,32.75,China,56.4
Technical author,IT,Decreasing,Low,94943.18,PhD,17,167,5241,19.15,59.22,Canada,42.95
Air traffic controller,Finance,Increasing,High,118496.57,Master’s Degree,15,8478,9755,39.28,72.31,Brazil,36.43
"Surveyor, building control",Healthcare,Increasing,Low,101094.59,Associate Degree,10,226,5508,31.3,64.77,UK,67.4
"Social research officer, government",Healthcare,Increasing,High,100398.46,Master’s Degree,2,6267,6988,10.72,41.72,USA,67.8
Mental health nurse,Healthcare,Increasing,Low,148818.67,High School,2,1498,5181,22.94,4.63,Australia,77.05
"Designer, fashion/clothing",Transportation,Decreasing,Moderate,53391.25,Master’s Degree,7,458,6992,36.28,97.32,Brazil,31.11
"Designer, textile",Manufacturing,Increasing,Low,53873.12,PhD,10,7943,3219,88.6,12.4,Canada,69.95
"Therapist, art",Retail,Decreasing,Low,49500.96,Associate Degree,15,8814,437,32.29,59.84,USA,46.32
"Buyer, retail",Manufacturing,Increasing,High,78963.22,PhD,17,3734,3020,53.46,23.63,UK,29.09
"Engineer, site",Retail,Increasing,High,132935.18,Master’s Degree,7,8551,6703,27.75,71.31,Australia,54.28
"Engineer, control and instrumentation",Retail,Increasing,High,32225.8,High School,5,5038,4969,51.95,84.39,Australia,39.84
Ambulance person,Retail,Increasing,Moderate,119275.11,Master’s Degree,15,5903,4805,8.64,65.67,USA,67.55
Information systems manager,Transportation,Decreasing,Moderate,97264.39,High School,18,9938,690,10.56,91.02,Brazil,58.96
"Administrator, charities/voluntary organisations",Transportation,Increasing,Low,82642.57,Associate Degree,15,6332,126,5.44,97.05,Germany,36.49
"Administrator, sports",Healthcare,Increasing,High,130810.46,PhD,1,4179,9147,13.05,34.75,UK,61.16
Sub,Education,Increasing,Low,144048.65,High School,18,9481,3210,59.44,26.65,China,62.77
Minerals surveyor,Manufacturing,Decreasing,Moderate,134112.94,Associate Degree,20,2109,1991,90.05,54.44,China,54.8
Clinical embryologist,Transportation,Decreasing,High,37243.21,PhD,17,2925,5665,16.12,48.2,Australia,72.37
"Engineer, chemical",IT,Decreasing,High,97878.98,Bachelor’s Degree,20,4463,1482,38.65,98.49,USA,76.28
Health visitor,IT,Increasing,Low,148129.05,Master’s Degree,20,9115,1606,75.07,75.05,UK,44.86
"Psychotherapist, dance movement",Transportation,Decreasing,High,127076.02,Associate Degree,12,1177,6355,39.7,89.29,UK,56.06
"Research officer, government",Entertainment,Increasing,Moderate,32854.35,Master’s Degree,7,4171,2071,92.59,19.71,Canada,77.84
"Teacher, secondary school",Transportation,Increasing,Low,145902.25,Associate Degree,19,3917,5061,64.65,26.14,China,54.42
Jewellery designer,IT,Increasing,Moderate,136706.09,Master’s Degree,7,108,9461,75.51,93.06,India,68.32
Network engineer,IT,Decreasing,Moderate,144952.78,Master’s Degree,13,6048,8905,24.59,55.32,UK,37.13
"Merchandiser, retail",Education,Increasing,Low,108014.83,High School,7,5622,9466,93.9,18.51,India,64.3
Tax inspector,IT,Decreasing,Low,57331.67,Bachelor’s Degree,19,2936,7757,30.92,33.24,India,27.58
Patent attorney,Manufacturing,Increasing,High,68268.77,Master’s Degree,0,601,273,72.27,95.91,USA,57.29
Magazine journalist,Finance,Decreasing,Low,109445.74,Master’s Degree,8,6875,7127,84.81,50.45,UK,53.23
Commercial horticulturist,Manufacturing,Increasing,Moderate,108206.74,PhD,6,1083,8661,89.69,54.98,Canada,44.27
Field seismologist,Education,Increasing,High,56687.49,PhD,16,3735,381,5.81,63.53,Australia,68.02
Mudlogger,IT,Decreasing,High,117974.23,Bachelor’s Degree,19,789,8231,61.69,88.98,USA,31.1
"Designer, textile",Retail,Increasing,Moderate,79311.62,PhD,12,4112,9912,7.42,84.21,UK,43.65
"Engineer, aeronautical",Healthcare,Increasing,High,69863.34,High School,6,9223,2982,62.13,53.59,USA,28.11
"Conservator, museum/gallery",Manufacturing,Increasing,Moderate,62338.04,High School,15,9391,3180,99.87,71.95,Germany,74.94
Maintenance engineer,Education,Increasing,High,111250.07,PhD,10,6768,2910,60.69,50.95,China,52.22
"Sound technician, broadcasting/film/video",Transportation,Increasing,High,43794.17,High School,9,9981,8417,82.73,59.51,China,49.92
Chief Strategy Officer,Retail,Increasing,High,111087.68,Bachelor’s Degree,11,9443,6327,35.89,90.85,UK,52.74
"Engineer, chemical",Healthcare,Increasing,Moderate,94579.33,Bachelor’s Degree,14,7641,4759,95.85,58.84,Brazil,66.22
Financial controller,Healthcare,Decreasing,Low,113924.78,Master’s Degree,19,6461,2034,46.25,73.61,USA,39.79
Proofreader,Entertainment,Increasing,High,115952.37,Associate Degree,3,6395,3854,84.85,95.69,China,63.26
"Scientist, biomedical",Entertainment,Increasing,High,131791.6,Bachelor’s Degree,13,2228,3470,11.49,16.32,China,60.53
Surgeon,IT,Increasing,Low,60205.76,PhD,0,485,8772,0.18,77.67,China,69.26
Charity fundraiser,Healthcare,Increasing,Low,102152.37,High School,16,9443,9890,98.38,21.37,USA,56.82
"Education officer, environmental",IT,Increasing,Moderate,37011.53,Associate Degree,1,5797,9038,69.31,67.58,Brazil,28.05
"Teacher, music",Finance,Increasing,High,143218.26,Bachelor’s Degree,19,6072,3577,14.94,53.11,Brazil,42.05
Energy manager,Education,Decreasing,Low,76818.14,High School,11,4786,2498,66.39,18.08,USA,50.37
Art gallery manager,Transportation,Increasing,Moderate,105117.55,Master’s Degree,9,8240,6866,81.65,1.37,China,62.33
Writer,IT,Increasing,Moderate,119793.03,PhD,9,5455,7703,88.35,3.04,USA,62.73
Chiropractor,IT,Decreasing,High,35376.63,PhD,14,7974,639,82.27,8.39,Australia,69.49
Hydrologist,Transportation,Decreasing,Low,52596.3,Master’s Degree,11,2652,3383,33.28,60.19,UK,66.45
Personnel officer,Healthcare,Increasing,Moderate,84049.77,Bachelor’s Degree,6,9014,4170,16.98,7.35,USA,34.85
Farm manager,Manufacturing,Increasing,Moderate,116786.27,PhD,6,2438,7844,3.91,45.84,Brazil,71.33
"Scientist, research (medical)",Education,Increasing,High,34903.78,Master’s Degree,19,2195,3353,63.7,63.69,UK,72.14
Education administrator,Transportation,Increasing,High,32855.57,Associate Degree,0,1153,9867,43.71,58.41,UK,54.56
Dietitian,Transportation,Increasing,High,86778.44,Bachelor’s Degree,9,5607,2046,14.31,81.67,Australia,76.79
Education administrator,Healthcare,Increasing,Moderate,123361.61,Master’s Degree,5,7704,6408,50.62,52.68,India,63.36
Estate agent,Manufacturing,Increasing,Low,141360.77,Bachelor’s Degree,2,3390,837,13.51,6.74,China,64.29
Education administrator,Transportation,Decreasing,Moderate,33159.3,High School,10,2139,957,34.25,54.21,China,66.27
Travel agency manager,Retail,Increasing,Moderate,69456.9,Associate Degree,11,6352,3988,53.21,90.68,China,73.8
Financial planner,Manufacturing,Decreasing,Moderate,142817.57,High School,1,7193,8334,40.89,96.58,UK,49.51
Public affairs consultant,Manufacturing,Increasing,Moderate,135621.65,Bachelor’s Degree,12,6225,8458,9.47,47.8,China,78.39
"Engineer, maintenance",Manufacturing,Decreasing,Low,37377.39,High School,3,8537,4512,73.58,61.47,Brazil,54.8
International aid/development worker,Retail,Increasing,High,108260.03,Associate Degree,4,182,9637,20.86,89.71,Germany,38.27
Leisure centre manager,Healthcare,Decreasing,Moderate,128434.44,Bachelor’s Degree,2,7323,3787,36.21,27.43,Australia,38.05
Garment/textile technologist,Education,Decreasing,High,144990.13,PhD,19,877,8709,31.93,17.77,Germany,56.49
Market researcher,Healthcare,Increasing,Low,30916.32,Associate Degree,4,6271,9650,34.96,4.84,China,24.74
Interpreter,Transportation,Decreasing,High,141846.76,Bachelor’s Degree,14,518,6903,83.29,77.03,UK,56.41
Immigration officer,Education,Decreasing,High,61301.73,PhD,14,8616,3166,20.33,78.57,Germany,38.36
Web designer,Entertainment,Increasing,Moderate,91779.32,High School,3,8726,5966,83.09,64.48,UK,70.86
Secondary school teacher,IT,Increasing,Moderate,113317.2,PhD,19,6266,2202,15.63,58.28,India,51.15
Photographer,Retail,Decreasing,High,37754.83,High School,1,6147,7110,8.51,67.61,Germany,20.57
"Research officer, political party",Retail,Increasing,Low,58785.6,Bachelor’s Degree,7,3709,4770,77.6,29.6,USA,58.86
Pharmacologist,Finance,Increasing,High,61529.46,Associate Degree,18,8001,8470,53.52,20.08,India,67.28
IT sales professional,Entertainment,Increasing,Low,97288.35,Associate Degree,17,6301,5009,65.67,48.36,Australia,24.5
Dealer,Retail,Increasing,High,140303.96,PhD,11,722,619,94.42,98.9,Canada,71.41
Corporate treasurer,Finance,Decreasing,Low,62112.08,PhD,1,403,5107,94.73,98.17,Brazil,37.22
Statistician,IT,Decreasing,Low,128345.42,High School,19,4658,8248,50.42,93.51,Canada,73.61
Records manager,IT,Increasing,Moderate,67373.5,Bachelor’s Degree,19,3783,563,25.07,20.13,USA,58.58
Sports therapist,Healthcare,Increasing,High,85913.61,PhD,1,9779,8416,7.26,43.64,China,59.26
Forensic scientist,Education,Decreasing,Low,38149.55,Master’s Degree,10,8768,9797,10.07,49.65,China,68.6
Operational investment banker,Retail,Increasing,High,140193.93,High School,5,2537,9833,20.39,12.2,UK,55.9
Sub,Finance,Increasing,Moderate,127247.77,High School,13,7718,3500,57.04,81.37,India,67.44
Magazine journalist,IT,Increasing,Low,82575.79,Bachelor’s Degree,4,667,4012,86.67,58.26,Germany,79.74
"Production designer, theatre/television/film",Entertainment,Decreasing,Moderate,49651.99,Bachelor’s Degree,18,8372,8306,0.45,30.88,Brazil,43.42
"Engineer, production",Transportation,Increasing,Moderate,148929.74,Master’s Degree,2,7579,8235,49.31,33.56,Germany,52.36
Forest/woodland manager,Education,Decreasing,High,47021.3,Master’s Degree,17,2322,2755,30.78,60.08,Australia,26.67
Corporate treasurer,Healthcare,Decreasing,Moderate,118602.08,Bachelor’s Degree,5,576,322,64.41,29.68,India,72.6
"Geneticist, molecular",Education,Increasing,Moderate,102115.81,Bachelor’s Degree,2,1255,6507,77.5,51.03,Australia,68.46
"Editor, commissioning",Transportation,Increasing,Low,98585.07,Bachelor’s Degree,17,8994,359,96.35,34.85,Canada,25.86
Fashion designer,Transportation,Decreasing,Moderate,30337.54,Bachelor’s Degree,7,9222,4951,22.48,50.53,India,64.52
Dealer,Education,Decreasing,Low,54195.64,High School,4,8201,1630,37.25,91.37,Australia,47.61
Sports administrator,Entertainment,Decreasing,High,69670.91,PhD,3,7269,4497,94.51,66.13,USA,24.38
"Exhibitions officer, museum/gallery",Manufacturing,Decreasing,High,97652.48,High School,6,1383,8672,3.33,40.34,India,41.53
"Accountant, chartered management",Manufacturing,Increasing,High,145811.33,Master’s Degree,17,5568,8041,50.05,74.21,Australia,48.0
"Therapist, nutritional",Manufacturing,Increasing,Moderate,136770.18,High School,10,676,7892,80.47,90.82,Brazil,71.77
Careers adviser,Manufacturing,Decreasing,High,36630.35,High School,9,4112,2863,37.0,71.64,China,52.38
Learning disability nurse,Manufacturing,Increasing,High,94117.94,Associate Degree,9,182,5798,92.53,57.65,Germany,75.29
"Teacher, special educational needs",Retail,Decreasing,Low,136902.85,Associate Degree,8,1303,8011,85.26,51.55,China,20.96
Musician,Healthcare,Increasing,High,127705.98,Bachelor’s Degree,9,9626,9191,11.87,9.7,India,37.59
Occupational therapist,Transportation,Increasing,High,93296.71,PhD,18,4696,7543,44.57,64.9,Germany,23.52
Administrator,Finance,Decreasing,Low,49375.96,Associate Degree,15,9009,3808,36.81,91.24,Canada,52.59
"Therapist, nutritional",Healthcare,Decreasing,High,109976.17,Associate Degree,1,2727,8482,18.83,40.98,India,25.91
Web designer,Manufacturing,Decreasing,Low,61943.43,Bachelor’s Degree,10,7844,6470,88.36,70.95,Germany,50.6
Travel agency manager,Education,Decreasing,Low,83572.34,PhD,20,1681,1177,98.15,34.5,China,48.36
Sports therapist,Manufacturing,Increasing,Low,65823.12,Bachelor’s Degree,0,6477,3179,91.35,6.89,Australia,55.16
Multimedia programmer,Education,Decreasing,Low,69930.92,Bachelor’s Degree,2,5079,2783,47.12,24.18,UK,68.05
Careers information officer,Transportation,Increasing,High,77855.29,Associate Degree,5,868,6687,99.56,11.43,Australia,30.8
"Engineer, materials",Healthcare,Increasing,High,78745.59,PhD,3,5309,9957,3.61,44.54,India,25.66
Surgeon,Entertainment,Decreasing,High,132714.1,Associate Degree,7,4706,9423,44.18,83.69,UK,75.59
"Engineer, drilling",Finance,Increasing,High,51277.46,Bachelor’s Degree,14,3563,6192,21.64,22.7,Germany,50.97
Patent attorney,Transportation,Decreasing,Moderate,50641.85,PhD,20,2326,2391,3.63,35.02,Canada,39.39
Interpreter,Retail,Increasing,Low,78588.84,Master’s Degree,16,9120,1908,20.69,54.81,Australia,26.66
Magazine features editor,Transportation,Increasing,High,146337.96,Associate Degree,6,8635,926,84.98,37.02,Canada,50.0
Legal secretary,Healthcare,Increasing,High,33946.27,PhD,18,2546,9830,9.24,8.86,China,33.21
Waste management officer,Manufacturing,Increasing,High,145879.37,High School,0,3295,9727,36.54,9.3,India,78.63
Advertising account planner,Entertainment,Increasing,High,141629.21,PhD,14,3231,9165,14.1,26.89,USA,39.0
Geochemist,Transportation,Decreasing,Low,109917.81,Master’s Degree,13,8891,5500,80.77,90.9,India,37.05
Medical physicist,Transportation,Increasing,Low,149997.75,PhD,8,5940,4583,43.76,45.86,Australia,64.77
Geophysicist/field seismologist,Healthcare,Increasing,Moderate,69031.12,PhD,12,3201,3217,38.87,11.04,UK,69.3
"Conservation officer, historic buildings",Healthcare,Decreasing,Moderate,139092.69,Bachelor’s Degree,20,6730,2163,96.99,25.7,Canada,47.57
Occupational psychologist,Retail,Decreasing,Moderate,74679.04,Bachelor’s Degree,5,1374,7428,22.69,37.77,Brazil,62.83
Amenity horticulturist,Retail,Increasing,Moderate,85508.63,High School,2,435,1648,87.45,20.39,Germany,76.18
"Surveyor, building control",Healthcare,Increasing,High,47054.38,Bachelor’s Degree,20,9391,3832,59.05,63.3,Canada,74.96
"Surveyor, building",Finance,Decreasing,Moderate,147839.53,Master’s Degree,1,6094,7532,55.14,48.17,USA,79.66
"Psychologist, counselling",Finance,Decreasing,High,79886.7,PhD,16,4704,1319,35.22,88.42,India,64.4
Public house manager,Finance,Decreasing,Moderate,127330.29,PhD,13,1233,8676,73.07,12.51,Australia,57.42
Speech and language therapist,IT,Increasing,Low,76939.27,Bachelor’s Degree,9,2551,2469,27.77,85.2,USA,36.76
Geoscientist,Retail,Increasing,High,78080.02,Master’s Degree,10,4951,4980,36.57,19.6,Brazil,41.05
"Engineer, land",Finance,Decreasing,High,103890.36,Associate Degree,10,6055,6668,93.07,81.82,China,63.23
"Pilot, airline",Finance,Decreasing,High,43086.93,Master’s Degree,2,1715,660,78.47,8.05,India,74.73
Theatre director,Entertainment,Decreasing,High,133563.88,High School,11,1978,9945,55.09,56.95,Australia,31.76
Toxicologist,Retail,Increasing,Low,90663.49,High School,6,9127,6249,59.81,38.29,Australia,42.47
"Restaurant manager, fast food",Finance,Decreasing,Moderate,33826.23,High School,20,2488,5687,77.33,82.94,India,49.34
Training and development officer,IT,Decreasing,Moderate,41744.34,High School,7,4429,6608,64.59,38.99,Australia,39.77
Radio broadcast assistant,Manufacturing,Increasing,High,119012.26,Bachelor’s Degree,19,6988,8087,55.85,87.8,Germany,48.09
"Programme researcher, broadcasting/film/video",Entertainment,Increasing,High,33181.45,PhD,9,2352,856,85.51,68.87,China,39.09
"Psychotherapist, child",IT,Decreasing,Moderate,93784.26,Master’s Degree,3,1617,2075,91.47,29.24,China,58.41
Human resources officer,Entertainment,Increasing,Moderate,56625.59,Master’s Degree,18,5836,2163,64.24,91.54,China,52.67
Consulting civil engineer,IT,Decreasing,High,139593.02,Bachelor’s Degree,11,4796,6900,96.86,42.76,Canada,78.85
IT technical support officer,Healthcare,Increasing,High,93638.45,PhD,17,9759,3307,90.56,7.73,Canada,21.2
Electronics engineer,Healthcare,Decreasing,High,84835.56,PhD,3,7457,2501,88.47,21.2,China,51.78
"Lecturer, further education",Retail,Decreasing,High,55129.13,Bachelor’s Degree,17,8327,8932,31.97,98.67,Germany,21.72
Facilities manager,Finance,Decreasing,Low,57175.17,Master’s Degree,9,5732,2603,76.67,21.78,Australia,48.81
Event organiser,Transportation,Increasing,High,115038.96,Associate Degree,8,8932,9790,41.15,84.63,India,35.35
Air traffic controller,Entertainment,Decreasing,Moderate,87740.13,Bachelor’s Degree,11,3806,2988,55.93,64.71,China,20.5
Historic buildings inspector/conservation officer,Healthcare,Increasing,High,32417.0,Associate Degree,18,755,5219,3.54,52.79,USA,39.12
"Nurse, children's",Retail,Increasing,High,99382.69,Bachelor’s Degree,5,5423,2638,2.11,95.56,Canada,34.8
Automotive engineer,Healthcare,Decreasing,Low,103116.86,Master’s Degree,7,8266,4994,47.98,74.74,UK,60.76
Pathologist,Manufacturing,Increasing,High,65669.6,High School,12,7246,816,12.69,25.61,Australia,55.2
"Psychologist, educational",Retail,Decreasing,Moderate,140668.92,PhD,2,382,1426,10.8,63.8,USA,78.6
"Sound technician, broadcasting/film/video",Manufacturing,Increasing,Low,64401.97,Bachelor’s Degree,0,8337,4425,27.24,22.15,Australia,65.58
Multimedia specialist,Transportation,Decreasing,High,94505.84,High School,7,7527,9149,89.3,9.45,China,24.2
Chemical engineer,Finance,Decreasing,Moderate,132763.94,Master’s Degree,12,3687,7744,86.89,84.0,Australia,61.28
Curator,Education,Increasing,High,144834.05,Associate Degree,7,7524,2299,6.48,10.28,Canada,23.46
Accounting technician,Retail,Decreasing,Low,113204.48,Bachelor’s Degree,14,9573,1735,3.58,26.52,UK,37.63
"Engineer, energy",Transportation,Increasing,Moderate,49375.8,Bachelor’s Degree,3,8569,3889,90.97,32.8,Germany,46.92
Restaurant manager,Manufacturing,Increasing,Moderate,39495.2,Associate Degree,7,6660,4079,17.63,48.94,Brazil,51.82
Historic buildings inspector/conservation officer,Transportation,Decreasing,High,57101.42,Bachelor’s Degree,20,9331,9343,20.08,80.75,Australia,72.38
Chiropodist,Transportation,Increasing,High,101209.84,Associate Degree,2,8457,4591,22.93,32.16,Australia,50.92
Best boy,Manufacturing,Increasing,Low,117183.86,High School,13,104,4495,17.41,76.5,Australia,39.05
Agricultural engineer,IT,Decreasing,High,116688.69,Associate Degree,20,2564,8932,86.49,92.88,India,33.55
Stage manager,Entertainment,Increasing,Moderate,53731.17,Bachelor’s Degree,12,6868,3453,3.72,88.68,UK,57.27
"Research officer, trade union",IT,Increasing,Moderate,46841.91,PhD,14,3946,7119,43.31,82.79,India,20.32
"Civil engineer, contracting",Finance,Increasing,High,64199.04,Associate Degree,14,555,8220,59.54,61.18,USA,56.3
Accounting technician,Transportation,Decreasing,High,89430.84,PhD,11,1439,8243,28.47,44.49,USA,27.62
Structural engineer,IT,Increasing,High,68793.29,High School,11,9130,1569,23.64,40.82,India,39.28
Garment/textile technologist,Manufacturing,Decreasing,High,118144.51,High School,5,108,6519,30.22,83.4,India,38.96
Set designer,IT,Increasing,Low,94819.35,Bachelor’s Degree,5,7788,7975,77.18,93.58,Brazil,39.33
Chief Financial Officer,Entertainment,Decreasing,Moderate,60293.44,Bachelor’s Degree,16,2659,6784,46.17,9.39,USA,31.05
Architect,Education,Increasing,High,47022.33,Associate Degree,20,7657,2698,4.56,96.22,Canada,55.7
"Psychotherapist, child",Manufacturing,Increasing,Moderate,67686.07,Bachelor’s Degree,14,2793,6702,37.98,39.8,Australia,51.93
"Journalist, magazine",Finance,Decreasing,Low,114849.45,PhD,7,5371,5585,96.27,46.44,China,74.16
Trading standards officer,Manufacturing,Decreasing,Low,131947.02,PhD,11,2636,3984,41.15,86.63,USA,57.59
Actuary,Finance,Decreasing,High,128345.33,PhD,7,1279,7361,57.98,58.88,USA,30.92
Health service manager,Finance,Decreasing,Moderate,53146.15,Associate Degree,16,8640,2177,36.5,64.71,Germany,75.2
"Teacher, primary school",Entertainment,Increasing,Moderate,109710.52,High School,16,2416,7905,79.06,84.99,China,55.3
